"","True Classifier","Fitted Classifier","n","k","K","Balancing index","Fitting time","MeanPrecision","MicroPrecision","MacroPrecision","MacroRecall","MacroFscore"
"1","Vor","Tree","Small","Small","Small",0.36986301369863,0.0314178466796875,0.92,0.92,0.944444444444444,0.888888888888889,0.915824915824916
"2","Vor","Tree","Small","Small","Mid",0.148936170212766,0.0169858932495117,0.86,0.72,0.550641025641026,0.59375,0.571383559725529
"3","Vor","Tree","Small","Mid","Small",0.19047619047619,0.0189998149871826,0.92,0.92,0.810606060606061,0.810606060606061,0.810606060606061
"4","Vor","Tree","Small","Mid","Mid",0.0740740740740741,0.0230059623718262,0.86,0.44,NA,NA,NA
"5","Vor","Tree","Mid","Small","Small",0.349527665317139,0.0299849510192871,0.832,0.832,0.79048717721182,0.766984748389202,0.778558635636058
"6","Vor","Tree","Mid","Small","Mid",0.0161550888529887,0.0279850959777832,0.924,0.772,NA,0.466420457315587,NA
"7","Vor","Tree","Mid","Mid","Small",0.144329896907216,0.0300021171569824,0.861333333333333,0.792,0.730592815294481,0.638047762317717,0.681191422480429
"8","Vor","Tree","Mid","Mid","Mid",0.102222222222222,0.0620040893554688,0.896666666666667,0.38,NA,0.192996736490589,NA
"9","Vor","Bag","Small","Small","Small",0.388888888888889,0.187997102737427,1,1,1,1,1
"10","Vor","Bag","Small","Small","Mid",0.0638297872340425,0.187028884887695,0.96,0.92,NA,0.733333333333333,NA
"11","Vor","Bag","Small","Mid","Small",0.470588235294118,0.186010837554932,0.92,0.92,0.947368421052632,0.875,0.909747292418773
"12","Vor","Bag","Small","Mid","Mid",0.1,0.207013130187988,0.87,0.48,NA,NA,NA
"13","Vor","Bag","Mid","Small","Small",0.152073732718894,2.18617296218872,0.948,0.948,0.928781852997496,0.861345580933466,0.893793513877227
"14","Vor","Bag","Mid","Small","Mid",0.0893970893970894,2.65420699119568,0.954666666666667,0.864,0.882391315215743,0.815842820080108,0.847813153743249
"15","Vor","Bag","Mid","Mid","Small",0.185763888888889,3.3242290019989,0.896,0.844,0.852755421417393,0.804547032280458,0.827950072760246
"16","Vor","Bag","Mid","Mid","Mid",0.053475935828877,4.47135806083679,0.934,0.604,0.578040427052917,0.547385687408979,0.562295565113713
"17","Vor","For","Small","Small","Small",0.315789473684211,0.0150010585784912,0.92,0.92,0.875,0.875,0.875
"18","Vor","For","Small","Small","Mid",0.137254901960784,0.0189831256866455,0.98,0.96,NA,NA,NA
"19","Vor","For","Small","Mid","Small",0.408450704225352,0.0189871788024902,0.8,0.8,0.895833333333333,0.583333333333333,0.706572769953052
"20","Vor","For","Small","Mid","Mid",0.272727272727273,0.0340070724487305,0.9,0.6,NA,NA,NA
"21","Vor","For","Mid","Small","Small",0.533742331288344,0.225017070770264,0.96,0.96,0.959027777777778,0.954733076499725,0.956875608234909
